C9B1  B0 03     BCS A:00 X:00 Y:00 P:66 SP:FB PPU:311
C9B3  4C BA C9  JMP A:00 X:00 Y:00 P:66 SP:FB PPU:317
C9BA  EA        NOP A:00 X:00 Y:00 P:66 SP:FB PPU:326
C9BB  24 01     BIT A:00 X:00 Y:00 P:66 SP:FB PPU:332
C9BD  A9 40     LDA A:00 X:00 Y:00 P:E6 SP:FB PPU:  0
C9BF  C9 40     CMP A:40 X:00 Y:00 P:64 SP:FB PPU:  6
C9C1  30 09     BMI A:40 X:00 Y:00 P:67 SP:FB PPU: 12
C9C3  90 07     BCC A:40 X:00 Y:00 P:67 SP:FB PPU: 18
C9C5  D0 05     BNE A:40 X:00 Y:00 P:67 SP:FB PPU: 24
C9C7  50 03     BVC A:40 X:00 Y:00 P:67 SP:FB PPU: 30
C9C9  4C D0 C9  JMP A:40 X:00 Y:00 P:67 SP:FB PPU: 36
C9D0  EA        NOP A:40 X:00 Y:00 P:67 SP:FB PPU: 45
C9D1  B8        CLV A:40 X:00 Y:00 P:67 SP:FB PPU: 51
C9D2  C9 3F     CMP A:40 X:00 Y:00 P:27 SP:FB PPU: 57
C9D4  F0 09     BEQ A:40 X:00 Y:00 P:25 SP:FB PPU: 63
C9D6  30 07     BMI A:40 X:00 Y:00 P:25 SP:FB PPU: 69
C9D8  90 05     BCC A:40 X:00 Y:00 P:25 SP:FB PPU: 75
C9DA  70 03     BVS A:40 X:00 Y:00 P:25 SP:FB PPU: 81
C9DC  4C E3 C9  JMP A:40 X:00 Y:00 P:25 SP:FB PPU: 87
C9E3  EA        NOP A:40 X:00 Y:00 P:25 SP:FB PPU: 96
C9E4  C9 41     CMP A:40 X:00 Y:00 P:25 SP:FB PPU:102
C9E6  F0 07     BEQ A:40 X:00 Y:00 P:A4 SP:FB PPU:108
C9E8  10 05     BPL A:40 X:00 Y:00 P:A4 SP:FB PPU:114
C9EA  10 03     BPL A:40 X:00 Y:00 P:A4 SP:FB PPU:120
C9EC  4C F3 C9  JMP A:40 X:00 Y:00 P:A4 SP:FB PPU:126
C9F3  EA        NOP A:40 X:00 Y:00 P:A4 SP:FB PPU:135
C9F4  A9 80     LDA A:40 X:00 Y:00 P:A4 SP:FB PPU:141
C9F6  C9 00     CMP A:80 X:00 Y:00 P:A4 SP:FB PPU:147
C9F8  F0 07     BEQ A:80 X:00 Y:00 P:A5 SP:FB PPU:153
C9FA  10 05     BPL A:80 X:00 Y:00 P:A5 SP:FB PPU:159
C9FC  90 03     BCC A:80 X:00 Y:00 P:A5 SP:FB PPU:165
C9FE  4C 05 CA  JMP A:80 X:00 Y:00 P:A5 SP:FB PPU:171
CA05  EA        NOP A:80 X:00 Y:00 P:A5 SP:FB PPU:180
